,tipo,bairro,area_total,quartos,banheiros,vagas,academia,churrasqueira,elevador,salao_festa,piscina,condominio,preco
2154,2,Santa Maria,76,2,1,1,0,1,1,1,1,19.0,4199000
2155,2,Boa Vista,79,3,3,3,1,1,1,1,0,150.0,700000
2156,2,Olímpico,55,2,1,1,1,1,1,1,0,515.0,2969000
2157,2,Santa Paula,174,3,3,3,0,1,1,0,1,508.0,990000
2158,2,Boa Vista,65,2,2,2,0,1,1,1,1,550.0,365000
2159,2,Olímpico,90,2,3,3,0,1,1,0,1,450.0,850000
2160,2,Santa Paula,90,3,5,5,0,0,1,0,0,385.0,650000
2161,2,Santa Paula,180,3,3,3,0,1,1,1,1,561.0,1200000
2162,2,Santa Maria,67,3,3,3,0,1,1,1,1,14.0,240000
2163,2,Barcelona,65,2,1,1,1,0,1,1,0,775.0,435000
2164,2,Olímpico,70,2,2,2,0,1,1,1,1,450.0,395000
2165,2,Santa Maria,75,2,2,2,0,0,1,0,0,738.0,460000
2166,2,Santa Maria,160,3,1,1,0,1,1,1,1,395.0,7499000
2167,2,Santa Paula,84,3,2,2,1,1,1,1,0,410.0,750000
2168,2,Nova Gerty,140,2,1,1,0,0,1,1,1,447.0,500000
2169,2,Cerâmica,56,2,2,2,0,1,1,1,1,482.0,459000
2170,2,Cerâmica,68,2,1,1,1,1,0,0,0,478.0,720000
2171,2,Santa Maria,64,2,2,2,0,1,1,1,1,300.0,390000
2172,2,Cerâmica,65,2,2,2,1,0,1,1,0,500.0,430000
2173,2,Jardim Sao Caetano,80,3,2,2,0,1,1,1,1,12.0,495000
2174,2,Olímpico,264,3,1,1,1,0,0,1,1,600.0,1980000
2175,2,Santo Antônio,113,2,2,2,0,1,1,1,1,780.0,1130000
2176,2,Fundação,61,2,1,1,1,1,1,1,0,105.0,331000
2177,2,Cerâmica,90,2,2,2,0,1,1,1,1,351.0,990000
2178,2,Santa Paula,106,3,2,2,0,0,0,0,0,568.0,550000
2179,2,Cerâmica,68,2,2,2,1,0,0,1,1,430.0,6498000
2180,2,Barcelona,68,2,3,3,1,1,0,1,1,535.0,450000
2181,2,Barcelona,67,2,2,2,0,0,1,0,0,105.0,455000
2182,2,Barcelona,88,3,3,3,0,0,0,0,0,500.0,450000
2183,2,Santo Antônio,62,2,3,3,0,0,1,1,0,520.0,475000
2184,2,Mauá,79,3,3,3,0,0,1,1,0,19.0,495000
2185,2,Osvaldo Cruz,61,2,1,1,0,1,1,1,1,150.0,510000
2186,2,Santa Maria,76,2,2,2,0,1,1,0,1,515.0,4199000
2187,2,Boa Vista,79,3,2,2,0,1,1,1,1,508.0,700000
2188,2,Olímpico,55,2,1,1,0,1,1,1,0,550.0,2969000
2189,2,Santa Paula,174,3,3,3,0,1,1,0,1,1.0,990000
2190,2,Boa Vista,65,2,1,1,0,0,1,0,0,450.0,365000
2191,2,Olímpico,90,2,2,2,0,1,1,1,1,600.0,850000
2192,2,Santa Paula,90,3,2,2,0,1,1,1,1,561.0,650000
2193,2,Santa Paula,180,3,1,1,0,1,1,1,1,14.0,1200000
2194,2,Santa Maria,67,3,2,2,0,0,1,0,0,775.0,240000
2195,2,Barcelona,65,2,1,1,0,1,1,1,1,450.0,435000
2196,2,Olímpico,70,2,1,1,0,1,1,1,1,878.0,395000
2197,2,Santa Maria,75,2,2,2,1,1,1,1,0,738.0,460000
2198,2,Santa Maria,160,3, -- , -- ,1,1,0,0,0,410.0,7499000
2199,2,Santa Paula,84,3,2,2,0,1,1,1,1,447.0,750000
2200,2,Nova Gerty,140,2,1,1,1,0,1,1,0,482.0,500000
2201,2,Cerâmica,56,2,3,3,0,1,1,1,1,478.0,459000
2202,2,Santa Maria,64,2,1,1,1,0,0,1,1,105.0,390000
2203,2,Cerâmica,65,2,2,2,0,1,1,1,1,351.0,430000
2204,2,Jardim Sao Caetano,80,3,2,2,1,1,1,1,0,568.0,495000
2205,2,Olímpico,264,3,3,3,0,1,1,1,1,430.0,1980000
2206,2,Santo Antônio,113,2,3,3,0,0,0,0,0,535.0,1130000
2207,2,Fundação,61,2,6,6,1,0,0,1,1,105.0,331000
2208,2,Cerâmica,90,2,4,4,1,1,0,1,1,500.0,990000
